,,,,,"Normalized abundance",,,"Raw abundance",,
"AT1G69770.1","1","1","101.64","| Symbols: CMT3 | chromomethylase 3 | chr1:26248496-26253519 REVERSE LENGTH=839","3190.74573085316","0","920352.705763841","6450.85785212489","0","3633077.27913566"
"AT1G69980.1","1","1","26.86","| Symbols:  | unknown protein; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 30 Blast hits to 30 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 30; Vir","126559.304459065","7833.44875287615","2099.3246191715","255869.99146777","7833.44875287615","8287.04965789403"
"AT1G70000.1","1","1","86.07","| Symbols:  | myb-like transcription factor family protein | chr1:26363674-26364635 REVERSE LENGTH=261","436649.16241462","2636110.66305325","25119.7301779983","882791.019901464","2636110.66305325","99159.7247404858"
"AT1G70180.2","5","3","109.16","| Symbols:  | Sterile alpha motif (SAM) domain-containing protein | chr1:26426768-26429097 FORWARD LENGTH=460","349196.704037858","103672.124256547","787.68590865577","705984.898262773","103672.124256547","3109.37726364104"
"AT1G70320.1","5","2","203.4","| Symbols: UPL2 | ubiquitin-protein ligase 2 | chr1:26488745-26501281 REVERSE LENGTH=3658","1433223.01152985","455609.694285156","8336.47054136142","2897604.10187912","455609.694285156","32908.0813500378"
"AT1G70620.3","3","2","52.41","| Symbols:  | cyclin-related | chr1:26626634-26630777 FORWARD LENGTH=957","112427.66811512","2274791.17734201","648950.979621407","227299.49887376","2274791.17734201","2561723.39644355"
"AT1G70770.1","6","6","341.09","| Symbols:  | Protein of unknown function DUF2359, transmembrane | chr1:26688622-26691185 REVERSE LENGTH=610","9873765.88365927","5675156.98430342","899503.769142532","19962186.132461","5675156.98430342","3550776.44222971"
"AT1G71010.1","3","2","115.72","| Symbols: FAB1C | FORMS APLOID AND BINUCLEATE CELLS 1C | chr1:26782839-26788712 FORWARD LENGTH=1648","1068621.05662893","273244.189314223","9806.52878147445","2160473.79377282","273244.189314223","38711.1122508143"
"AT1G71150.1","1","1","66.56","| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G22970.1); Has 105 Blast hits to 103 proteins in 41 species: Archae - 0; Bacteria - 2; Metazoa - 42; Fungi - 6; Plants - 48; Viruses - 0; Other Eukar","8099.14464768179","1557.42315236619","786461.080053551","16374.363629415","1557.42315236619","3104542.27273192"
"AT1G71710.1","2","2","77.6","| Symbols:  | DNAse I-like superfamily protein | chr1:26973796-26976774 REVERSE LENGTH=664","4794789.37869284","7935709.47554688","1929039.29763428","9693816.84467703","7935709.47554688","7614851.13142398"
"AT1G71770.1","5","4","396.15","| Symbols: PAB5 | poly(A)-binding protein 5 | chr1:26990777-26993489 REVERSE LENGTH=682","695603.25137238","4176430.39790911","1891671.88660379","1406328.82548096","4176430.39790911","7467343.88648976"
"AT1G71850.1","2","2","93.26","| Symbols:  | Ubiquitin carboxyl-terminal hydrolase family protein | chr1:27024875-27026287 REVERSE LENGTH=470","0.0835539853223757","4119.11393896254","935493.953809883","0.168924423241038","4119.11393896254","3692847.10858183"
"AT1G71860.1","3","3","135.81","| Symbols: PTP1, ATPTP1 | protein tyrosine phosphatase 1 | chr1:27026866-27028675 FORWARD LENGTH=340","748834.694933073","674693.854120056","18452.6668301888","1513948.95714893","674693.854120056","72841.6010300962"
"AT1G72150.1","1","1","59.55","| Symbols: PATL1 | PATELLIN 1 | chr1:27148558-27150652 FORWARD LENGTH=573","0","0","695427.891583491","0","0","2745190.24757178"
"AT1G72160.1","4","4","200.46","| Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr1:27153823-27155609 REVERSE LENGTH=490","25532252.2519858","15718772.5565437","1599513.41293583","51619572.2929372","15718772.5565437","6314053.08184209"
"AT1G72390.1","1","1","64.07","| Symbols:  | CONTAINS InterPro DOMAIN/s: Spt20 family (InterPro:IPR021950); Has 8778 Blast hits to 7244 proteins in 477 species: Archae - 6; Bacteria - 326; Metazoa - 4198; Fungi - 1506; Plants - 923; Viruses - 22; Other Eukaryotes - 1797 (source: ","493573.144318539","53005.3482666256","1750.05786325044","997876.503551371","53005.3482666256","6908.32484147587"
"AT1G72410.2","7","7","210.44","| Symbols:  | COP1-interacting protein-related | chr1:27251535-27256246 REVERSE LENGTH=1270","482942.296737194","1146613.74401002","453112.566977385","976383.695167505","1146613.74401002","1788654.46004217"
"AT1G72440.1","2","2","78.08","| Symbols: EDA25, SWA2 | CCAAT-binding factor | chr1:27268325-27273596 REVERSE LENGTH=1043","10079.7921696079","1497.21294896501","257861.772664644","20378.7176885812","1497.21294896501","1017905.1374093"
"AT1G72650.2","1","1","118.53","| Symbols: TRFL6 | TRF-like 6 | chr1:27350253-27353483 FORWARD LENGTH=630","1165714.60712819","56630.8277172174","1280.44057544428","2356771.69572483","56630.8277172174","5054.51826543948"
"AT1G72730.1","4","2","125.18","| Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:27378040-27379593 REVERSE LENGTH=414","7360.50777453004","13190.1803823525","243382.341431191","14881.0320151263","13190.1803823525","960747.819025142"
"AT1G73020.1","2","2","114.78","| Symbols:  | unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF590 (InterPro:IPR007632); Has 1198 Blast hits to 1128 proteins in 154 species: Archae - 0; Bacteria - 0; Metazoa - 809; Fungi - 158; Plants - 25; Viruses - 0; ","617963.281078865","29626.9263292803","358458.394065589","1249361.00220262","29626.9263292803","1415008.65791915"
"AT1G73150.1","1","1","60.57","| Symbols: GTE3 | global transcription factor group E3 | chr1:27504327-27505996 REVERSE LENGTH=461","354113.501577394","65420.0016206354","1068.37249479561","715925.383870426","65420.0016206354","4217.38297957627"
"AT1G73350.1","1","1","43.35","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 46 Blast hits to 46 proteins in 19 spec","3345107.94081717","5295489.79877375","315243.664241867","6762938.08609308","5295489.79877375","1244419.2175195"
"AT1G73450.1","4","0","160.97","| Symbols:  | Protein kinase superfamily protein | chr1:27613856-27618635 FORWARD LENGTH=1152",,,,"0","0","0"
"AT1G73460.1","7","4","264.59","| Symbols:  | Protein kinase superfamily protein | chr1:27620122-27624899 FORWARD LENGTH=1169","7146232.57352543","2361440.54078519","154287.809262945","14447823.2985713","2361440.54078519","609048.607963407"
"AT1G73590.1","6","6","250.81","| Symbols: PIN1, ATPIN1 | Auxin efflux carrier family protein | chr1:27659772-27662876 FORWARD LENGTH=622","7132745.2301962","4720276.24230071","244022.287691382","14420555.3988517","4720276.24230071","963273.996438655"
"AT1G73660.1","2","1","44.13","| Symbols:  | protein tyrosine kinase family protein | chr1:27692247-27696718 REVERSE LENGTH=1030","1529473.46109125","753463.696218577","65540.708996715","3092197.47305248","753463.696218577","258720.878662257"
"AT1G73770.1","3","3","154.99","| Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: cultured cell; BEST Arabidopsis thaliana protein match is: Ribosomal protein S24/S35, mitochondrial (TAIR:AT3G1","1992315.45711444","901408.080494378","176093.309351391","4027943.58891141","901408.080494378","695125.463537787"
"AT1G73860.1","1","1","61.04","| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:27771188-27775977 REVERSE LENGTH=1025","114165.797906122","0","38391.4753942652","230813.545167665","0","151549.722290044"
"AT1G73920.1","1","1","36.46","| Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:27791194-27794698 FORWARD LENGTH=704","43187.4032935148","0","1354516.90134449","87313.6950258838","0","5346933.3524648"
"AT1G73960.1","2","1","47.15","| Symbols: TAF2 | TBP-associated factor 2 | chr1:27805173-27814433 REVERSE LENGTH=1390","0","0","336622.213888814","0","0","1328810.69319701"
"AT1G74050.1","1","1","28.06","| Symbols:  | Ribosomal protein L6 family protein | chr1:27847256-27848680 REVERSE LENGTH=233","0","0","27810.7854134141","0","0","109782.621344646"
"AT1G74090.1","1","1","27.38","| Symbols: SOT18, ATSOT18, ATST5B | desulfo-glucosinolate sulfotransferase 18 | chr1:27863003-27864055 FORWARD LENGTH=350","74501.2028756338","622113.102330014","1891.73728631771","150622.052053808","622113.102330014","7467.60205079266"
"AT1G74240.1","1","1","70.65","| Symbols:  | Mitochondrial substrate carrier family protein | chr1:27917437-27919987 FORWARD LENGTH=364","215908.397175199","0","278.557396997718","436510.614365037","0","1099.60077656061"
"AT1G74250.1","4","4","175.42","| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr1:27920328-27922414 FORWARD LENGTH=630","46519.7186531386","103899.949147918","823217.628440961","94050.769840566","103899.949147918","3249638.14735633"
"AT1G74260.1","2","1","49.91","| Symbols: PUR4 | purine biosynthesis 4 | chr1:27923005-27927764 REVERSE LENGTH=1407","982642.405362344","322546.326686429","18320.1538283093","1986647.32672623","322546.326686429","72318.5081187553"
"AT1G74720.1","2","2","56.43","| Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081","1050325.92305496","338892.999433271","104377.667104848","2123485.79283932","338892.999433271","412029.136691768"
"AT1G74910.1","2","2","63.74","| Symbols:  | ADP-glucose pyrophosphorylase family protein | chr1:28135770-28138456 REVERSE LENGTH=415","1109947.8647047","2141398.09666926","4412.91583243439","2244025.84926912","2141398.09666926","17419.9131975706"
"AT1G75080.1","7","7","343.03","| Symbols: BZR1 | Brassinosteroid signalling positive regulator (BZR1) family protein | chr1:28185709-28187063 FORWARD LENGTH=336","4059490.74308922","5542726.25327891","174223.260197413","8207234.27832754","5542726.25327891","687743.475035295"
"AT1G75370.2","1","1","22.87","| Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr1:28276440-28279798 REVERSE LENGTH=668","380914.277808316","953910.156885309","27950.7145507906","770109.581664856","953910.156885309","110334.989329776"
"AT1G75500.1","1","1","18.07","| Symbols: WAT1 | Walls Are Thin 1 | chr1:28338282-28340091 REVERSE LENGTH=389","221950.102566547","34891.5992628976","0","448725.371024315","34891.5992628976","0"
"AT1G75990.1","11","11","621.93","| Symbols:  | PAM domain (PCI/PINT associated module) protein | chr1:28524623-28526718 REVERSE LENGTH=487","4752287.50832209","5655373.06063118","90159.9480653232","9607889.1188918","5655373.06063118","355904.92292009"
"AT1G76070.1","1","1","40.21","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal different","0","0","24881.2482975307","0","0","98218.3214111034"
"AT1G76380.1","2","2","45.16","| Symbols:  | DNA-binding bromodomain-containing protein | chr1:28651416-28654536 REVERSE LENGTH=579","1546310.38274234","786822.245424591","99615.9998317824","3126237.34880574","786822.245424591","393232.532876472"
"AT1G76660.1","2","2","56.98","| Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: hydroxyp","1173713.51244488","1378478.16931589","100686.179151177","2372943.40150245","1378478.16931589","397457.048266653"
"AT1G76810.1","4","4","169.31","| Symbols:  | eukaryotic translation initiation factor 2 (eIF-2) family protein | chr1:28831366-28836310 REVERSE LENGTH=1294","520890.33800821","592508.307126353","1345637.35204433","1053104.76311059","592508.307126353","5311881.47658141"
"AT1G76850.1","12","12","513.35","| Symbols: SEC5A | exocyst complex component sec5 | chr1:28848013-28854282 FORWARD LENGTH=1090","3989487.35360222","9494238.55071473","361950.651629275","8065705.63491953","9494238.55071473","1428794.28763269"
"AT1G76950.1","6","6","154.36","| Symbols: PRAF1 | Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain | chr1:28906952-28911325 FORWARD LENGTH=1103","389097.689466941","647481.480010427","161133.636792345","786654.311269837","647481.480010427","636072.400361888"
"AT1G76970.1","1","1","36.95","| Symbols:  | Target of Myb protein 1 | chr1:28922841-28924854 REVERSE LENGTH=446","567524.121857483","463747.40723763","95046.7007389975","1147386.14310571","463747.40723763","375195.299311983"
"AT1G77120.1","9","9","258.33","| Symbols: ADH1, ADH, ATADH, ATADH1 | alcohol dehydrogenase 1 | chr1:28975509-28977216 FORWARD LENGTH=379","943308.041012457","101283.802876017","6207.34610350075","1907123.47414492","101283.802876017","24503.3973944186"
"AT1G77180.1","5","3","158.1","| Symbols: SKIP | chromatin protein family | chr1:28999791-29001632 REVERSE LENGTH=613","19494980.5350646","26422447.8521582","7004962.60035417","39413779.3700085","26422447.8521582","27651975.4928303"
"AT1G77300.1","4","3","78.52","| Symbols: EFS, SDG8, CCR1, ASHH2, LAZ2 | histone methyltransferases(H3-K4 specific);histone methyltransferases(H3-K36 specific) | chr1:29040160-29048810 REVERSE LENGTH=1805","852792.855273569","25944.9071144233","20613.6545222218","1724125.31449397","25944.9071144233","81372.0646613197"
"AT1G77760.1","2","2","67.01","| Symbols: NIA1, GNR1, NR1 | nitrate reductase 1 | chr1:29236005-29239367 REVERSE LENGTH=917","2908296.9704698","2281802.00886466","477367.69742805","5879819.93264304","2281802.00886466","1884401.19147558"
"AT1G77840.1","5","4","126.86","| Symbols:  | Translation initiation factor IF2/IF5 | chr1:29269087-29270400 FORWARD LENGTH=437","13773580.5234939","24181366.0128849","9034218.24045197","27846596.8669015","24181366.0128849","35662428.9998676"
"AT1G78150.3","3","2","56.65","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAI","72915.974328129","1910.7126060724","203753.462837179","147417.13229972","1910.7126060724","804313.467807538"
"AT1G78240.1","1","1","21.22","| Symbols: TSD2, QUA2, OSU1 | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:29433173-29435815 REVERSE LENGTH=684","1728867.56108393","681609.9506141","0","3495320.47441468","681609.9506141","0"
"AT1G78610.1","6","5","214.6","| Symbols: MSL6 | mechanosensitive channel of small conductance-like 6 | chr1:29569226-29572126 REVERSE LENGTH=856","2017101.75373548","3466970.03485316","13456.1454049308","4078055.03296564","3466970.03485316","53117.914283553"
"AT1G78650.1","3","3","76.54","| Symbols: POLD3 | DNA-directed DNA polymerases | chr1:29582987-29585508 FORWARD LENGTH=509","254724.152894603","122234.118385449","1619953.80337295","514985.975202305","122234.118385449","6394741.18935641"
"AT1G78700.1","1","1","65.06","| Symbols: BEH4 | BES1/BZR1 homolog 4 | chr1:29599854-29601539 FORWARD LENGTH=325","293020.908329999","1381911.215281","315393.072940883","592412.052473989","1381911.215281","1245009.00591943"
"AT1G78810.1","2","2","99.21","| Symbols:  | unknown protein; Has 75 Blast hits to 52 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 2; Plants - 66; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink). | chr1:29628538-29630510 REVERSE LENGTH=481","1329351.3704594","92866.6441962521","78582.2250382449","2687602.66399167","92866.6441962521","310202.05030356"
"AT1G78880.1","9","7","294.06","| Symbols:  | Ubiquitin-specific protease family C19-related protein | chr1:29653068-29654819 REVERSE LENGTH=468","3630480.68834569","8613125.27260004","465739.144951357","7339887.54695925","8613125.27260004","1838497.6704366"
"AT1G78890.1","1","1","27.79","| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G16840.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses","399954.943927885","117528.987150229","6805.91803648304","808604.855468533","117528.987150229","26866.2503268076"
"AT1G79000.2","3","1","58.47","| Symbols: HAC1 | histone acetyltransferase of the CBP family 1 | chr1:29716639-29723984 REVERSE LENGTH=1741","365046.541184682","394645.603998515","0","738029.145920874","394645.603998515","0"
"AT1G79090.1","6","6","461.46","| Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Topoisomerase","6063945.72640544","11035622.0982382","206722.467776955","12259720.8313375","11035622.0982382","816033.566331493"
"AT1G79230.1","2","1","113.27","| Symbols: ST1, ATMST1, MST1, ATRDH1, STR1 | mercaptopyruvate sulfurtransferase 1 | chr1:29800824-29803679 FORWARD LENGTH=379","4463536.93880154","726282.730356143","444149.745725585","9024110.58063795","726282.730356143","1753273.86948929"
"AT1G79280.2","4","4","197.6","| Symbols: NUA | nuclear pore anchor | chr1:29819176-29832809 REVERSE LENGTH=2115","202811.867223773","103606.353210035","706788.476536438","410032.837632211","103606.353210035","2790035.97118595"
"AT1G79550.1","8","8","245.01","| Symbols: PGK | phosphoglycerate kinase | chr1:29924347-29926295 REVERSE LENGTH=401","117089.310370462","373114.365919797","820.76180690776","236724.126870873","373114.365919797","3239.94383195094"
"AT1G79570.1","8","6","369.16","| Symbols:  | Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain | chr1:29932856-29937540 REVERSE LENGTH=1248","8242542.84383132","3182035.57398994","565954.246129505","16664277.4795432","3182035.57398994","2234095.14609615"
"AT1G79730.1","1","1","105.31","| Symbols: ELF7 | hydroxyproline-rich glycoprotein family protein | chr1:30000743-30003969 REVERSE LENGTH=589","184955.928408246","3778859.81348794","7228681.5905553","373932.774251602","3778859.81348794","28535102.553924"
"AT1G79830.4","5","5","174.31","| Symbols: GC5 | golgin candidate 5 | chr1:30028110-30033508 REVERSE LENGTH=976","1503858.1016193","847863.137744686","1209712.84567942","3040409.87957962","847863.137744686","4775321.70698498"
"AT1G79920.1","2","2","67.69","| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr1:30058935-30062224 REVERSE LENGTH=831","379020.857889807","65205.5268313446","136405.308533736","766281.579129092","65205.5268313446","538457.72830766"
"AT1G80000.1","1","1","63.28","| Symbols:  | CASC3/Barentsz eIF4AIII binding | chr1:30093195-30096742 FORWARD LENGTH=605","4338.09259359583","25742.9502912199","122291.032518397","8770.49474674366","25742.9502912199","482741.854185009"
"AT1G80270.1","2","2","109.28","| Symbols: PPR596 | PENTATRICOPEPTIDE REPEAT 596 | chr1:30181265-30183331 FORWARD LENGTH=596","2003.5123400612","83837.6724383797","4339868.51041284","4050.58077356014","83837.6724383797","17131560.0865555"
"AT1G80490.1","2","1","108.43","| Symbols: TPR1 | TOPLESS-related 1 | chr1:30261094-30266446 REVERSE LENGTH=1119","2038135.74660238","1397027.67651378","1109.12191547064","4120580.29492399","1397027.67651378","4378.24065236328"
"AT1G80530.1","3","3","56.34","| Symbols:  | Major facilitator superfamily protein | chr1:30278224-30280247 REVERSE LENGTH=561","947346.201716488","636205.470651871","184434.439792153","1915287.5846329","636205.470651871","728051.939764625"
"AT1G80680.1","2","2","100.13","| Symbols: SAR3, MOS3, PRE, NUP96 | SUPPRESSOR OF AUXIN RESISTANCE 3 | chr1:30324219-30328489 FORWARD LENGTH=1046","353670.738570766","25903.9257383838","20971.6250538097","715030.232247931","25903.9257383838","82785.1474900738"
"AT1G80810.1","6","6","262.32","| Symbols:  | Tudor/PWWP/MBT superfamily protein | chr1:30365575-30368898 FORWARD LENGTH=773","375255.853523794","21862.5994643769","625169.121650095","758669.719699829","21862.5994643769","2467844.90039513"
"AT1G80930.1","17","16","618.86","| Symbols:  | MIF4G domain-containing protein / MA3 domain-containing protein | chr1:30405774-30409499 REVERSE LENGTH=900","10232732.7873977","5124528.68521688","24645725.4530155","20687923.832975","5124528.68521688","97288598.8278295"
"AT1G80950.1","1","1","46.75","| Symbols:  | Phospholipid/glycerol acyltransferase family protein | chr1:30412653-30414935 REVERSE LENGTH=398","294829.843718504","2662.37227008118","0","596069.24926723","2662.37227008118","0"
"AT2G01100.1","1","1","23.52","| Symbols:  | unknown protein; Has 19420 Blast hits to 10641 proteins in 779 species: Archae - 0; Bacteria - 1003; Metazoa - 10257; Fungi - 1826; Plants - 1570; Viruses - 56; Other Eukaryotes - 4708 (source: NCBI BLink). | chr2:82245-82988 FORWARD L","0","0","730156.832248154","0","0","2882282.17381599"
"AT2G01190.1","7","7","254.19","| Symbols:  | Octicosapeptide/Phox/Bem1p family protein | chr2:115023-117296 FORWARD LENGTH=720","16094724.6591642","43154013.7386029","1636155.88176432","32539346.5049301","43154013.7386029","6458698.62927027"
"AT2G01210.1","3","3","149.53","| Symbols:  | Leucine-rich repeat protein kinase family protein | chr2:119509-121734 REVERSE LENGTH=716","963507.584673273","3511147.43520276","181909.72358628","1947961.69687565","3511147.43520276","718085.663763718"
"AT2G01460.1","2","1","64.08","| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr2:206136-211765 FORWARD LENGTH=955","140577.713722725","0","0","284211.568359452","0","0"
"AT2G01470.1","1","1","17.56","| Symbols: STL2P, ATSEC12 | SEC12P-like 2 protein | chr2:212215-214435 REVERSE LENGTH=393","0","0","506880.954345717","0","0","2000904.29128651"
"AT2G01650.1","3","3","66.97","| Symbols: PUX2 | plant UBX domain-containing protein 2 | chr2:284851-286394 REVERSE LENGTH=458","4813021.95813576","1400790.96139541","6.50814605796136","9730678.37742988","1400790.96139541","25.6908003034033"
"AT2G01750.2","10","10","385.7","| Symbols: MAP70-3 | microtubule-associated proteins 70-3 | chr2:328351-331848 FORWARD LENGTH=630","7197708.00069578","6375911.76205202","1756273.80766686","14551893.2218943","6375911.76205202","6932862.18057013"
"AT2G01820.1","13","12","395.59","| Symbols:  | Leucine-rich repeat protein kinase family protein | chr2:357664-360681 REVERSE LENGTH=943","10909453.6839558","6472863.61870757","532871.442276211","22056077.4489297","6472863.61870757","2103501.31803786"
"AT2G01980.1","2","1","52.76","| Symbols: SOS1, ATSOS1, ATNHX7 | sodium proton exchanger, putative (NHX7) (SOS1) | chr2:457070-463145 FORWARD LENGTH=1146","1286364.99748239","349201.349520335","2158.81099989073","2600695.3999713","349201.349520335","8521.87117453173"
"AT2G02160.1","4","4","130.68","| Symbols:  | CCCH-type zinc finger family protein | chr2:553407-555899 REVERSE LENGTH=669","1863390.50631488","24157.8563421445","6896.46074040236","3767290.87592392","24157.8563421445","27223.666172212"
"AT2G02170.1","6","6","157.27","| Symbols:  | Remorin family protein | chr2:556595-558610 REVERSE LENGTH=486","1296215.22412017","335357.727849361","367.202930204984","2620609.9958719","335357.727849361","1449.52757155481"
"AT2G02480.1","2","2","47.64","| Symbols: STI | AAA-type ATPase family protein | chr2:661093-665337 FORWARD LENGTH=1218","11899.626768102","5280.70875649078","523518.171930238","24057.9498491849","5280.70875649078","2066579.4360607"
"AT2G02790.1","3","3","94.07","| Symbols: IQD29 | IQ-domain 29 | chr2:788708-790946 FORWARD LENGTH=636","17078196.9137495","5516188.68417908","1204869.91926237","34527671.5709146","5516188.68417908","4756204.33402554"
"AT2G02800.1","5","5","91.9","| Symbols: APK2B | protein kinase 2B | chr2:796889-799250 REVERSE LENGTH=426","1783941.07252492","4514548.47323511","17400.9979947322","3606664.78815547","4514548.47323511","68690.1554730351"
"AT2G02955.1","2","2","56.12","| Symbols: MEE12 | maternal effect embryo arrest 12 | chr2:859592-861772 FORWARD LENGTH=666","169776.494132038","635297.750437047","31319.9158438989","343243.906804522","635297.750437047","123634.856424388"
"AT2G03150.1","13","13","474.88","| Symbols: emb1579 | ATP/GTP-binding protein family | chr2:952313-959004 FORWARD LENGTH=1340","4211877.98681783","2644898.82898967","84000.2460086456","8515321.64432004","2644898.82898967","331589.599622608"
"AT2G03230.1","1","1","178.38","| Symbols:  | GCK domain-containing protein | chr2:972917-973375 FORWARD LENGTH=152","6576205.91170832","2932285.76212016","289221.808472428","13295377.6706584","2932285.76212016","1141698.36673607"
"AT2G03240.1","4","4","65.84","| Symbols:  | EXS (ERD1/XPR1/SYG1) family protein | chr2:973693-977337 REVERSE LENGTH=823","1772175.11817115","2115989.22263221","66232.6305503823","3582877.08915555","2115989.22263221","261452.227698154"
"AT2G03390.1","1","1","30.24","| Symbols:  | uvrB/uvrC motif-containing protein | chr2:1030635-1032354 REVERSE LENGTH=330","1831526.96239888","697873.214781656","0","3702871.07885909","697873.214781656","0"
"AT2G03620.1","3","3","140.65","| Symbols: MGT3, MRS2-5 | magnesium transporter 3 | chr2:1100489-1102168 REVERSE LENGTH=421","441180.197097042","1986177.62158459","50125.499635329","891951.593361367","1986177.62158459","197869.591396807"
"AT2G04410.1","1","1","109.05","| Symbols:  | RPM1-interacting protein 4 (RIN4) family protein | chr2:1534012-1535040 REVERSE LENGTH=73","1761363.41503647","8295902.75945276","7470578.77459106","3561018.63788919","8295902.75945276","29489987.7383793"
"AT2G04865.1","4","4","237.12","| Symbols:  | Aminotransferase-like, plant mobile domain family protein | chr2:1712149-1714599 FORWARD LENGTH=667","46020.6050272632","214826.81801351","763780.794060816","93041.6919245643","214826.81801351","3015012.21408324"
"AT2G04880.1","4","4","107.98","| Symbols: ZAP1, ATWRKY1, WRKY1 | zinc-dependent activator protein-1 | chr2:1718557-1720219 FORWARD LENGTH=487","847603.253644368","379435.489595219","573843.543871948","1713633.28998214","379435.489595219","2265238.02012358"
"AT2G05590.1","2","2","97.92","| Symbols:  | TLD-domain containing nucleolar protein | chr2:2067196-2068650 FORWARD LENGTH=263","2525226.88447306","3703721.42097948","107946.34767676","5105351.86761629","3703721.42097948","426116.444982503"
"AT2G05710.1;AT4G26970.1","17","12","527.52","| Symbols: ACO3 | aconitase 3 | chr2:2141591-2146350 FORWARD LENGTH=990","2624797.84047344","645680.424862317","132856.258506662","5306658.43903866","645680.424862317","524447.911272158"
"AT2G07180.1","2","1","102.63","| Symbols:  | Protein kinase superfamily protein | chr2:2981082-2983271 REVERSE LENGTH=442","565033.289214755","100202.231121188","1610.22729357546","1142350.32744785","100202.231121188","6356.3459507384"
"AT2G07360.1","3","3","78.45","| Symbols:  | SH3 domain-containing protein | chr2:3047623-3057099 REVERSE LENGTH=1196","1576039.31740332","832078.954376869","10812464.175259","3186341.52123751","832078.954376869","42682025.7935781"
"AT2G07698.1","7","1","236.64","| Symbols:  | ATPase, F1 complex, alpha subunit protein | chr2:3361474-3364028 FORWARD LENGTH=777","1451.30477719903","12469.55218929","4249.61094163978","2934.16072841298","12469.55218929","16775.2698074855"
"AT2G10950.1","4","4","86.81","| Symbols:  | BSD domain-containing protein | chr2:4315534-4317800 REVERSE LENGTH=336","55567.4646524352","176921.689140931","1241555.0229633","112342.958641204","176921.689140931","4901018.18191659"
"AT2G11000.1","1","1","49.6","| Symbols: ATMAK10, MAK10 | MAK10 homologue | chr2:4341328-4347768 REVERSE LENGTH=728","328620.126219794","59610.9632843273","20425.8513251106","664384.410544805","59610.9632843273","80630.7146070408"
"AT2G11520.1","1","1","22.82","| Symbols: CRCK3 | calmodulin-binding receptor-like cytoplasmic kinase 3 | chr2:4619145-4621448 FORWARD LENGTH=510","367978.95405233","81168.9052124278","4176.38093416338","743957.72192429","81168.9052124278","16486.1955486201"
"AT2G12550.1","2","0","60.01","| Symbols:  | ubiquitin-associated (UBA)/TS-N domain-containing protein | chr2:5114881-5118486 FORWARD LENGTH=562",,,,"0","0","0"
"AT2G13370.1","6","5","243.03","| Symbols: CHR5 | chromatin remodeling 5 | chr2:5544601-5555543 REVERSE LENGTH=1724","37150.7004374641","2523.6331606913","760363.263651122","75109.0521916562","2523.6331606913","3001521.56858999"
