Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 100	Peptides 100 (2)	Peptides 250-1	Peptides 250-2	Razor + unique peptides 100	Razor + unique peptides 100 (2)	Razor + unique peptides 250-1	Razor + unique peptides 250-2	Unique peptides 100	Unique peptides 100 (2)	Unique peptides 250-1	Unique peptides 250-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 100	Identification type 100 (2)	Identification type 250-1	Identification type 250-2	Sequence coverage 100 [%]	Sequence coverage 100 (2) [%]	Sequence coverage 250-1 [%]	Sequence coverage 250-2 [%]	Intensity	Intensity 100	Intensity 100 (2)	Intensity 250-1	Intensity 250-2	LFQ intensity 100	LFQ intensity 100 (2)	LFQ intensity 250-1	LFQ intensity 250-2	MS/MS Count 100	MS/MS Count 100 (2)	MS/MS Count 250-1	MS/MS Count 250-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
tr|A0A178VZ49|A0A178VZ49_ARATH;sp|O48844|PSD1A_ARATH	tr|A0A178VZ49|A0A178VZ49_ARATH;sp|O48844|PSD1A_ARATH	2;2	2;2	2;2	>tr|A0A178VZ49|A0A178VZ49_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At2g29090 PE=4 SV=1;>sp|O48844|PSD1A_ARATH 26S proteasome non-ATPase regulatory subunit 1 homolog A OS=Arabidopsis thaliana GN=RPN2A PE=1 SV=1	2	2	2	2	1	1	2	1	1	1	2	1	1	1	2	1	3.7	3.7	3.7	108.98	1004	1004;1004	0	17.295	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2	2	3.7	2	124330000	15350000	52240000	51830000	4907900	0	0	98267000	0	1	2	2	1	6				213	415;5486	True;True	501;6806;6807	1259;1260;1261;1262;1263;18423;18424	1167;1168;1169;1170;16853;16854	1168;16853	56	454;455;456	892	876;878;896
tr|A0A178VS21|A0A178VS21_ARATH;tr|A0A178VQ37|A0A178VQ37_ARATH;tr|A0A178VQH2|A0A178VQH2_ARATH;sp|O48847|LUH_ARATH	tr|A0A178VS21|A0A178VS21_ARATH;tr|A0A178VQ37|A0A178VQ37_ARATH;tr|A0A178VQH2|A0A178VQH2_ARATH;sp|O48847|LUH_ARATH	1;1;1;1	1;1;1;1	1;1;1;1	>tr|A0A178VS21|A0A178VS21_ARATH MUM1 OS=Arabidopsis thaliana GN=AXX17_At2g29060 PE=4 SV=1;>tr|A0A178VQ37|A0A178VQ37_ARATH MUM1 OS=Arabidopsis thaliana GN=AXX17_At2g29060 PE=4 SV=1;>tr|A0A178VQH2|A0A178VQH2_ARATH MUM1 OS=Arabidopsis thaliana GN=AXX17_At2g29	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	54.008	501	501;503;787;787	0.0025762	6.4503	By matching	By MS/MS	By matching	By matching	2	2	2	2	55194000	19894000	24822000	5222500	5255200	0	0	0	19965000	0	1	0	0	1				214	5291	True	6553	17627;17628;17629;17630	16130	16130		457		211
tr|W8PUJ0|W8PUJ0_ARATH;sp|O48946|CESA1_ARATH	tr|W8PUJ0|W8PUJ0_ARATH;sp|O48946|CESA1_ARATH	4;4	4;4	4;4	>tr|W8PUJ0|W8PUJ0_ARATH Cellulose synthase (Fragment) OS=Arabidopsis thaliana GN=AXX17_At4g37180 PE=2 SV=1;>sp|O48946|CESA1_ARATH Cellulose synthase A catalytic subunit 1 [UDP-forming] OS=Arabidopsis thaliana GN=CESA1 PE=1 SV=1	2	4	4	4	2	2	1	0	2	2	1	0	2	2	1	0	6.3	6.3	6.3	122.24	1081	1081;1081	0	106.51	By MS/MS	By MS/MS	By matching	By matching	2.9	3.4	2.2	0	61641000	16121000	42209000	3310700	0	0	42209000	0	0	2	2	0	0	4				215	1807;2143;4073;5550	True;True;True;True	2211;2626;5027;6888	5713;6883;13406;13407;18621	5233;6351;12263;17027	5233;6351;12263;17027		458;459;460;461;6831		24;150;152;167;688
sp|O49160|EIF3C_ARATH;tr|A0A178VBT8|A0A178VBT8_ARATH	sp|O49160|EIF3C_ARATH;tr|A0A178VBT8|A0A178VBT8_ARATH	4;4	4;4	4;4	>sp|O49160|EIF3C_ARATH Eukaryotic translation initiation factor 3 subunit C OS=Arabidopsis thaliana GN=TIF3C1 PE=1 SV=2;>tr|A0A178VBT8|A0A178VBT8_ARATH Eukaryotic translation initiation factor 3 subunit C OS=Arabidopsis thaliana GN=AXX17_At3g50790 PE=3 SV=	2	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	7.3	7.3	7.3	102.95	900	900;901	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4	4	5.1	4	317020000	125690000	140220000	13319000	37790000	154900000	180000000	0	103170000	9	5	9	12	35				216	708;1238;6022;6023	True;True;True;True	855;1514;7454;7455;7456;7457;7458	2121;2122;2123;3889;20353;20354;20355;20356;20357;20358;20359;20360;20361;20362;20363;20364;20365;20366;20367;20368;20369;20370;20371;20372;20373;20374;20375;20376;20377;20378;20379;20380;20381;20382;20383;20384;20385;20386	1933;1934;1935;3530;18587;18588;18589;18590;18591;18592;18593;18594;18595;18596;18597;18598;18599;18600;18601;18602;18603;18604;18605;18606;18607;18608;18609;18610;18611;18612;18613;18614;18615;18616;18617;18618	1933;3530;18591;18615		462;463;464;465;6832		13;17;38;40;46
tr|Q9XFT0|Q9XFT0_ARATH;tr|A0A178W664|A0A178W664_ARATH;sp|O49299|PGMC1_ARATH;tr|Q0WN31|Q0WN31_ARATH;tr|A0A178W3C5|A0A178W3C5_ARATH;sp|Q9SGC1|PGMC2_ARATH;tr|F4I6W3|F4I6W3_ARATH;tr|F4I6W4|F4I6W4_ARATH	tr|Q9XFT0|Q9XFT0_ARATH;tr|A0A178W664|A0A178W664_ARATH;sp|O49299|PGMC1_ARATH;tr|Q0WN31|Q0WN31_ARATH;tr|A0A178W3C5|A0A178W3C5_ARATH;sp|Q9SGC1|PGMC2_ARATH;tr|F4I6W3|F4I6W3_ARATH;tr|F4I6W4|F4I6W4_ARATH	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	>tr|Q9XFT0|Q9XFT0_ARATH Cytosolic phosphoglucomutase (Fragment) OS=Arabidopsis thaliana GN=PGMc PE=2 SV=2;>tr|A0A178W664|A0A178W664_ARATH PGM3 OS=Arabidopsis thaliana GN=AXX17_At1g24380 PE=3 SV=1;>sp|O49299|PGMC1_ARATH Probable phosphoglucomutase, cytoplas	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.5	4.5	4.5	55.757	513	513;583;583;585;585;585;605;662	0	169.74	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.5	4.5	4.5	4.5	2541200000	1570700000	868800000	26856000	74916000	2584000000	389830000	0	265880000	3	6	1	2	12				217	429	True	520	1319;1320;1321;1322;1323;1324;1325;1326;1327;1328;1329;1330;1331;1332;1333;1334;1335;1336	1220;1221;1222;1223;1224;1225;1226;1227;1228;1229;1230;1231;1232;1233;1234;1235;1236	1231		466		53
tr|A0A178VPH7|A0A178VPH7_ARATH;sp|O49339|PTI12_ARATH;tr|A0A178WDX5|A0A178WDX5_ARATH;sp|Q8H1G6|PTI11_ARATH;tr|A0A178VG53|A0A178VG53_ARATH;tr|Q9ZW72|Q9ZW72_ARATH;tr|A0A178VX27|A0A178VX27_ARATH;tr|A0A178VIN6|A0A178VIN6_ARATH;sp|B9DFG5|PTI13_ARATH;tr|F4IQ85|F4IQ85_ARATH	tr|A0A178VPH7|A0A178VPH7_ARATH;sp|O49339|PTI12_ARATH	3;3;1;1;1;1;1;1;1;1	3;3;1;1;1;1;1;1;1;1	3;3;1;1;1;1;1;1;1;1	>tr|A0A178VPH7|A0A178VPH7_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At2g26860 PE=3 SV=1;>sp|O49339|PTI12_ARATH PTI1-like tyrosine-protein kinase 2 OS=Arabidopsis thaliana GN=PTI12 PE=1 SV=1	10	3	3	3	1	3	2	1	1	3	2	1	1	3	2	1	10.9	10.9	10.9	40.514	366	366;366;361;361;366;406;406;408;408;440	0	123.49	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.1	10.9	3.8	7.1	343150000	223310000	81138000	32700000	5996900	0	64236000	78899000	0	2	3	2	1	8				218	1393;2334;2737	True;True;True	1701;2864;3368	4397;4398;7533;7534;8950;8951;8952;8953	3989;3990;6931;6932;8258;8259;8260;8261	3990;6931;8259	57	467;468;469;6833	253	14;17;237;238
tr|Q2HIR9|Q2HIR9_ARATH;sp|O49404|BEH3_ARATH	tr|Q2HIR9|Q2HIR9_ARATH;sp|O49404|BEH3_ARATH	1;1	1;1	1;1	>tr|Q2HIR9|Q2HIR9_ARATH At4g18890 OS=Arabidopsis thaliana GN=At4g18890 PE=2 SV=1;>sp|O49404|BEH3_ARATH BES1/BZR1 homolog protein 3 OS=Arabidopsis thaliana GN=BEH3 PE=1 SV=1	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	6.7	6.7	6.7	30.907	284	284;284	0	8.0157	By MS/MS	By matching	By matching	By matching	6.7	6.7	0	0	9595400	3709600	5885800	0	0	0	5885800	0	0	1	0	0	0	1				219	2845	True	3495	9343;9344	8609	8609		470;6834		149;153
tr|O24500|O24500_ARATH;tr|A8MS37|A8MS37_ARATH;tr|B3H4B8|B3H4B8_ARATH;tr|Q2V3V9|Q2V3V9_ARATH;tr|A0A178VBY9|A0A178VBY9_ARATH;sp|Q9LRS0|GLO2_ARATH;sp|Q9LRR9|GLO1_ARATH;tr|A0A178UV33|A0A178UV33_ARATH;sp|O49506|GLO5_ARATH;tr|F4JFV6|F4JFV6_ARATH;tr|A0A178VGT8|A0A178VGT8_ARATH	tr|O24500|O24500_ARATH;tr|A8MS37|A8MS37_ARATH;tr|B3H4B8|B3H4B8_ARATH;tr|Q2V3V9|Q2V3V9_ARATH;tr|A0A178VBY9|A0A178VBY9_ARATH;sp|Q9LRS0|GLO2_ARATH;sp|Q9LRR9|GLO1_ARATH;tr|A0A178UV33|A0A178UV33_ARATH;sp|O49506|GLO5_ARATH;tr|F4JFV6|F4JFV6_ARATH;tr|A0A178VGT8|A0A178VGT8_ARATH	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	>tr|O24500|O24500_ARATH Glycolate oxidase (Fragment) OS=Arabidopsis thaliana PE=2 SV=1;>tr|A8MS37|A8MS37_ARATH Peroxisomal (S)-2-hydroxy-acid oxidase GLO1 OS=Arabidopsis thaliana GN=At3g14420 PE=3 SV=1;>tr|B3H4B8|B3H4B8_ARATH Peroxisomal (S)-2-hydroxy-acid	11	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	3.5	3.5	3.5	28.125	259	259;360;366;367;367;367;367;368;368;373;377	0.0033017	6.0751	By matching	By matching	By matching	By MS/MS	3.5	0	0	3.5	3645700	1023500	0	0	2622200	0	0	0	9961800	0	0	0	1	1				220	3231	True	3978	10565;10566	9672	9672				
tr|A0A178VIW4|A0A178VIW4_ARATH;sp|O49595|HMGB1_ARATH;tr|F4J5M5|F4J5M5_ARATH;tr|A0A178VHC4|A0A178VHC4_ARATH	tr|A0A178VIW4|A0A178VIW4_ARATH;sp|O49595|HMGB1_ARATH;tr|F4J5M5|F4J5M5_ARATH;tr|A0A178VHC4|A0A178VHC4_ARATH	4;4;2;2	4;4;2;2	4;4;2;2	>tr|A0A178VIW4|A0A178VIW4_ARATH NFD1 OS=Arabidopsis thaliana GN=AXX17_At3g46260 PE=4 SV=1;>sp|O49595|HMGB1_ARATH High mobility group B protein 1 OS=Arabidopsis thaliana GN=HMGB1 PE=1 SV=1;>tr|F4J5M5|F4J5M5_ARATH High mobility group protein B1 OS=Arabidopsi	4	4	4	4	2	4	3	2	2	4	3	2	2	4	3	2	17.4	17.4	17.4	20.248	178	178;178;161;185	0	288.95	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.3	17.4	17.4	7.3	7554900000	114830000	3770400000	3261100000	408620000	1004400000	4251900000	4713500000	1402500000	4	11	5	8	28				221	3309;3310;4119;4813	True;True;True;True	4074;4075;4076;4077;4078;5085;5932	10837;10838;10839;10840;10841;10842;10843;10844;10845;10846;10847;10848;10849;10850;10851;10852;10853;10854;10855;10856;10857;10858;13586;13587;15912;15913	9918;9919;9920;9921;9922;9923;9924;9925;9926;9927;9928;9929;9930;9931;9932;9933;9934;9935;9936;9937;9938;9939;9940;9941;9942;9943;12431;12432;14564;14565	9920;9936;12432;14565		471;472;473;474		129;132;135;146
tr|A0A178W6Y6|A0A178W6Y6_ARATH;sp|P93047|HMGB3_ARATH;sp|O49596|HMGB2_ARATH;tr|A0A178WNE2|A0A178WNE2_ARATH;tr|A0A178WQA7|A0A178WQA7_ARATH;tr|A0A178WRB7|A0A178WRB7_ARATH	tr|A0A178W6Y6|A0A178W6Y6_ARATH;sp|P93047|HMGB3_ARATH;sp|O49596|HMGB2_ARATH;tr|A0A178WNE2|A0A178WNE2_ARATH;tr|A0A178WQA7|A0A178WQA7_ARATH;tr|A0A178WRB7|A0A178WRB7_ARATH	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	>tr|A0A178W6Y6|A0A178W6Y6_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g21700 PE=4 SV=1;>sp|P93047|HMGB3_ARATH High mobility group B protein 3 OS=Arabidopsis thaliana GN=HMGB3 PE=1 SV=1;>sp|O49596|HMGB2_ARATH High mobility group B prot	6	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	9.2	9.2	9.2	15.681	141	141;141;144;145;157;158	0	8.3832	By MS/MS	By matching	By matching	By MS/MS	9.2	0	0	9.2	69076000	59270000	0	0	9806000	0	0	0	37253000	1	0	0	1	2				222	4484	True	5527	14761;14762	13474;13475	13474		475		78
tr|C0Z315|C0Z315_ARATH;tr|B9DI69|B9DI69_ARATH;tr|A0A178UYC7|A0A178UYC7_ARATH;sp|O49621|MLO1_ARATH	tr|C0Z315|C0Z315_ARATH;tr|B9DI69|B9DI69_ARATH;tr|A0A178UYC7|A0A178UYC7_ARATH;sp|O49621|MLO1_ARATH	1;1;1;1	1;1;1;1	1;1;1;1	>tr|C0Z315|C0Z315_ARATH AT4G02600 protein OS=Arabidopsis thaliana GN=At4g02600 PE=2 SV=1;>tr|B9DI69|B9DI69_ARATH MLO-like protein (Fragment) OS=Arabidopsis thaliana GN=MLO PE=2 SV=1;>tr|A0A178UYC7|A0A178UYC7_ARATH MLO-like protein OS=Arabidopsis thaliana G	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	6	29.572	265	265;400;526;526	0	159.89	By MS/MS	By MS/MS	By matching	By MS/MS	6	6	6	6	472610000	184830000	244440000	20853000	22482000	0	0	0	85408000	3	2	0	1	6				223	3360	True	4139;4140	11031;11032;11033;11034;11035;11036	10088;10089;10090;10091;10092;10093	10090		6835		260
tr|A0A178VQA1|A0A178VQA1_ARATH;sp|O49840|PBL3_ARATH	tr|A0A178VQA1|A0A178VQA1_ARATH;sp|O49840|PBL3_ARATH	2;2	2;2	2;2	>tr|A0A178VQA1|A0A178VQA1_ARATH Kin2 OS=Arabidopsis thaliana GN=AXX17_At2g01780 PE=3 SV=1;>sp|O49840|PBL3_ARATH Probable serine/threonine-protein kinase PBL3 OS=Arabidopsis thaliana GN=PBL3 PE=1 SV=1	2	2	2	2	2	1	1	2	2	1	1	2	2	1	1	2	9.4	9.4	9.4	46.288	426	426;426	0	20.598	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.4	4.2	4.2	9.4	380980000	37132000	214780000	87134000	41929000	69990000	0	0	145130000	3	1	2	2	8				224	5067;5652	True;True	6265;7010;7011	16825;16826;16827;18951;18952;18953;18954;18955;18956	15394;15395;17344;17345;17346;17347;17348;17349	15394;17346		476;477;478;479;480;481;482;483;484;485;486		13;14;15;17;22;24;40;41;43;46;52
tr|A0A178UNW3|A0A178UNW3_ARATH;sp|O50008|METE1_ARATH;tr|A0A178VKB3|A0A178VKB3_ARATH;sp|Q9SRV5|METE2_ARATH;tr|Q9ZPE2|Q9ZPE2_ARATH;tr|A0A178UH18|A0A178UH18_ARATH;sp|Q0WNZ5|METE3_ARATH	tr|A0A178UNW3|A0A178UNW3_ARATH;sp|O50008|METE1_ARATH;tr|A0A178VKB3|A0A178VKB3_ARATH;sp|Q9SRV5|METE2_ARATH	8;8;7;7;1;1;1	8;8;7;7;1;1;1	8;8;7;7;1;1;1	>tr|A0A178UNW3|A0A178UNW3_ARATH ATMS1 OS=Arabidopsis thaliana GN=AXX17_At5g17640 PE=3 SV=1;>sp|O50008|METE1_ARATH 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1 OS=Arabidopsis thaliana GN=MS1 PE=1 SV=1;>tr|A0A178VKB3|A0A178VKB3_ARA	7	8	8	8	4	0	4	4	4	0	4	4	4	0	4	4	9.3	9.3	9.3	84.374	765	765;765;765;765;75;812;812	0	51.839	By MS/MS	By matching	By MS/MS	By MS/MS	5.6	0	5	5.5	66642000	15545000	0	21958000	29139000	32641000	0	0	103320000	1	0	2	4	7				225	179;364;1179;1733;2125;2596;6018;6064	True;True;True;True;True;True;True;True	218;444;1436;2121;2601;3197;7450;7505	554;1123;3648;5479;5480;6822;6823;8547;20345;20346;20481;20482	494;1046;3330;5002;6302;7896;18579;18580;18715;18716	494;1046;3330;5002;6302;7896;18580;18716				
tr|A8MR47|A8MR47_ARATH;tr|A0A178WKK0|A0A178WKK0_ARATH;sp|O64530|STR1_ARATH	tr|A8MR47|A8MR47_ARATH;tr|A0A178WKK0|A0A178WKK0_ARATH;sp|O64530|STR1_ARATH	1;1;1	1;1;1	1;1;1	>tr|A8MR47|A8MR47_ARATH Sulfurtransferase OS=Arabidopsis thaliana GN=MST1 PE=4 SV=1;>tr|A0A178WKK0|A0A178WKK0_ARATH Sulfurtransferase OS=Arabidopsis thaliana GN=AXX17_At1g73970 PE=4 SV=1;>sp|O64530|STR1_ARATH Thiosulfate/3-mercaptopyruvate sulfurtransferas	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	31.711	282	282;322;379	0	24.491	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5	5	5	5	627850000	328710000	261230000	17743000	20169000	623290000	108650000	0	75097000	2	2	1	2	7				226	3380	True	4163;4164	11106;11107;11108;11109;11110;11111;11112;11113;11114	10148;10149;10150;10151;10152;10153;10154;10155	10150	58		161	
tr|A0A178VZN7|A0A178VZN7_ARATH;sp|O64571|UBA1C_ARATH	tr|A0A178VZN7|A0A178VZN7_ARATH;sp|O64571|UBA1C_ARATH	1;1	1;1	1;1	>tr|A0A178VZN7|A0A178VZN7_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At2g14730 PE=4 SV=1;>sp|O64571|UBA1C_ARATH UBP1-associated proteins 1C OS=Arabidopsis thaliana GN=UBA1C PE=3 SV=2	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	2.1	2.1	2.1	69.569	613	613;613	0	7.2734	By MS/MS	By MS/MS	By matching	By matching	2.1	2.1	0	0	64760000	16861000	47899000	0	0	0	47899000	0	0	1	1	0	0	2				227	4063	True	5016	13380;13381	12240;12241	12241		487		358
tr|A0A178VWB0|A0A178VWB0_ARATH;tr|A0A178VXM0|A0A178VXM0_ARATH;sp|O64728|STI_ARATH;tr|Q0WNH1|Q0WNH1_ARATH;tr|A0A178WCY8|A0A178WCY8_ARATH;sp|F4HW65|STIL1_ARATH	tr|A0A178VWB0|A0A178VWB0_ARATH;tr|A0A178VXM0|A0A178VXM0_ARATH;sp|O64728|STI_ARATH;tr|Q0WNH1|Q0WNH1_ARATH	5;5;5;3;1;1	5;5;5;3;1;1	5;5;5;3;1;1	>tr|A0A178VWB0|A0A178VWB0_ARATH STI OS=Arabidopsis thaliana GN=AXX17_At2g01480 PE=4 SV=1;>tr|A0A178VXM0|A0A178VXM0_ARATH STI OS=Arabidopsis thaliana GN=AXX17_At2g01480 PE=4 SV=1;>sp|O64728|STI_ARATH Protein STICHEL OS=Arabidopsis thaliana GN=STI PE=1 SV=2;	6	5	5	5	1	4	3	0	1	4	3	0	1	4	3	0	5.7	5.7	5.7	134.89	1215	1215;1218;1218;634;1116;1116	0	41.655	By MS/MS	By MS/MS	By MS/MS	By matching	1.3	4.8	2.7	0	115640000	3662300	45438000	66538000	0	0	0	126150000	0	1	5	4	0	10				228	1608;3987;3998;4019;5070	True;True;True;True;True	1959;4918;4931;4960;4961;6269	5079;13078;13079;13110;13111;13229;13230;13231;13232;16831	4622;11964;11965;11993;11994;12105;12106;12107;12108;15399	4622;11965;11994;12106;15399		488;489;490;491;492;493;494;495;496;6836		46;52;55;326;329;333;371;849;852;1137
tr|F4HUS8|F4HUS8_ARATH;tr|Q53XI0|Q53XI0_ARATH;sp|O81108|ACA2_ARATH;sp|O64806|ACA7_ARATH;tr|A0A178WD16|A0A178WD16_ARATH;sp|Q37145|ACA1_ARATH;tr|A0A178VYF1|A0A178VYF1_ARATH	tr|F4HUS8|F4HUS8_ARATH;tr|Q53XI0|Q53XI0_ARATH;sp|O81108|ACA2_ARATH;sp|O64806|ACA7_ARATH;tr|A0A178WD16|A0A178WD16_ARATH;sp|Q37145|ACA1_ARATH;tr|A0A178VYF1|A0A178VYF1_ARATH	2;2;2;2;2;2;2	2;2;2;2;2;2;2	2;2;2;2;2;2;2	>tr|F4HUS8|F4HUS8_ARATH Calcium-transporting ATPase OS=Arabidopsis thaliana GN=ACA1 PE=3 SV=1;>tr|Q53XI0|Q53XI0_ARATH Calcium-transporting ATPase OS=Arabidopsis thaliana GN=At4g37640 PE=2 SV=1;>sp|O81108|ACA2_ARATH Calcium-transporting ATPase 2, plasma mem	7	2	2	2	2	0	0	1	2	0	0	1	2	0	0	1	0.8	0.8	0.8	103.72	946	946;1014;1014;1015;1020;1020;1195	0	12.9	By MS/MS	By matching	By matching	By matching	0.8	0	0	0.8	27807000	24845000	0	0	2961500	40377000	0	0	0	2	0	0	0	2				229	1319;1320	True;True	1614;1615	4188;4189;4190	3799;3800	3799;3800		497		46
tr|A0A178VNY5|A0A178VNY5_ARATH;sp|O64843|CID7_ARATH	tr|A0A178VNY5|A0A178VNY5_ARATH;sp|O64843|CID7_ARATH	2;2	2;2	2;2	>tr|A0A178VNY5|A0A178VNY5_ARATH CID7 OS=Arabidopsis thaliana GN=AXX17_At2g22110 PE=4 SV=1;>sp|O64843|CID7_ARATH Polyadenylate-binding protein-interacting protein 7 OS=Arabidopsis thaliana GN=CID7 PE=1 SV=1	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	7	7	7	44.889	415	415;567	0	38.704	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7	7	4.6	7	2088500000	132700000	602780000	1151900000	201110000	138340000	744100000	1320000000	533220000	4	7	4	3	18				230	483;2780	True;True	590;591;592;3420	1535;1536;1537;1538;1539;1540;1541;1542;1543;1544;1545;1546;1547;1548;1549;1550;1551;9144;9145;9146	1422;1423;1424;1425;1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;8438;8439;8440	1426;8439		498;499;500;501;502;503;6837		52;55;64;66;67;69;72
tr|A0A178VXZ2|A0A178VXZ2_ARATH;sp|O64885|BCCIP_ARATH	tr|A0A178VXZ2|A0A178VXZ2_ARATH;sp|O64885|BCCIP_ARATH	3;3	3;3	3;3	>tr|A0A178VXZ2|A0A178VXZ2_ARATH Protein BCCIP homolog OS=Arabidopsis thaliana GN=AXX17_At2g42070 PE=3 SV=1;>sp|O64885|BCCIP_ARATH Protein BCCIP homolog OS=Arabidopsis thaliana GN=At2g44510 PE=1 SV=2	2	3	3	3	0	2	2	0	0	2	2	0	0	2	2	0	7.1	7.1	7.1	37.946	326	326;326	0	52.326	By matching	By MS/MS	By MS/MS	By matching	0	7.1	7.1	0	199780000	0	83702000	116080000	0	0	0	220090000	0	0	2	1	0	3				231	688;3749;3750	True;True;True	829;4618;4619	2070;2071;12280;12281	1893;1894;11207;11208	1894;11207;11208		504		45
tr|B3H688|B3H688_ARATH;tr|Q0WS63|Q0WS63_ARATH;sp|O65154|KIWI_ARATH	tr|B3H688|B3H688_ARATH;tr|Q0WS63|Q0WS63_ARATH;sp|O65154|KIWI_ARATH	3;3;3	3;3;3	3;3;3	>tr|B3H688|B3H688_ARATH KIWI OS=Arabidopsis thaliana GN=KIWI PE=1 SV=1;>tr|Q0WS63|Q0WS63_ARATH Putative transcriptional co-activator OS=Arabidopsis thaliana GN=At5g09250 PE=2 SV=1;>sp|O65154|KIWI_ARATH RNA polymerase II transcriptional coactivator KIWI OS=	3	3	3	3	2	2	3	2	2	2	3	2	2	2	3	2	23.5	23.5	23.5	9.6337	85	85;107;107	0	224.01	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.4	22.4	23.5	22.4	4267200000	123590000	3416800000	692370000	34430000	137160000	3285000000	637210000	121190000	2	5	10	3	20				232	564;565;2255	True;True;True	679;680;681;682;2769;2770	1711;1712;1713;1714;1715;1716;1717;1718;1719;1720;1721;1722;1723;1724;1725;1726;1727;1728;1729;1730;7247;7248;7249	1567;1568;1569;1570;1571;1572;1573;1574;1575;1576;1577;1578;1579;1580;1581;1582;1583;1584;1585;6661;6662;6663;6664	1567;1577;6662		505;506;6838		15;19;21
tr|A0A178UX76|A0A178UX76_ARATH;sp|O65272|KEA2_ARATH;tr|F4JHE9|F4JHE9_ARATH	tr|A0A178UX76|A0A178UX76_ARATH;sp|O65272|KEA2_ARATH;tr|F4JHE9|F4JHE9_ARATH	1;1;1	1;1;1	1;1;1	>tr|A0A178UX76|A0A178UX76_ARATH KEA2 OS=Arabidopsis thaliana GN=AXX17_At4g00790 PE=4 SV=1;>sp|O65272|KEA2_ARATH K(+) efflux antiporter 2, chloroplastic OS=Arabidopsis thaliana GN=KEA2 PE=1 SV=2;>tr|F4JHE9|F4JHE9_ARATH K(+) efflux antiporter 2 OS=Arabidopsi	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1.9	1.9	1.9	126.27	1174	1174;1174;1185	0	71.419	By MS/MS	By matching	By matching	By matching	1.9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1				233	2885	True	3541	9464	8722	8722		6839		241
